num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,maths4m0621,mapsi2,aagb1,,,,,
2,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
3,aagb1,,,mogpl3,,,,
4,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
5,maths4m0621,aagb1,,il3,,,,
6,maths4m0621,mapsi5,aagb1,il3,mogpl4,,,
7,maths4m0621,mapsi4,aagb1,,,,,
8,maths4m0621,,,complex2,il3,,,
9,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
10,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
11,maths4m0621,mapsi5,aagb1,il3,mogpl4,,,
12,maths4m0621,,,il2,lrc3,,,
13,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
14,maths4m0621,mapsi2,aagb1,bimaX,lrc4,,,
15,maths4m0621,mapsi5,aagb1,,,,,
16,maths4m0621,mapsi2,aagb1,,,,,
17,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
18,maths4m0621,mapsi4,aagb1,bimaX,mogpl2,,,
19,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
20,maths4m0621,mapsi5,,il3,lrc4,,,
21,maths4m0621,mapsi2,aagb1,bima1,mogpl4,,,
22,maths4m0621,mapsi2,aagb1,il5,mogpl4,,,
23,maths4m0621,mapsi2,aagb1,il5,mogpl4,,,
24,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
25,mapsi2,aagb1,,,,,,
