num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mogpl2,,,aagb1,complex1,,,
2,mogpl1,,,complex1,mlbda4,,,
3,mogpl4,lrc2,,bima1,il2,mapsi2,,
4,lrc2,,,il3,mapsi5,,,
5,mogpl2,lrc2,,aagb1,complex1,mapsi3,,
6,mogpl1,,,complex1,mapsi2,mlbda4,,
7,mogpl2,lrc3,,mlbda2,,,,
8,mogpl4,lrc2,,bima1,complex1,mapsi1,,
9,mogpl2,lrc2,,il2,mapsi4,mlbda3,,
10,mogpl4,lrc2,,complexX,il5,mapsi4,,
11,mogpl2,lrc2,,aagbX,mapsi1,mlbda2,,
12,mogpl3,lrc2,,complex2,ilX,mapsi2,,
13,mogpl3,lrc1,,complex1,mapsi3,mlbda1,,
14,mogpl2,lrc1,,complex1,mapsi4,mlbda4,,
15,mogpl1,lrc4,,bima1,mapsi2,mlbda2,,
16,mogpl3,lrc1,,il2,,,,
17,mogpl2,lrc1,,complex2,mapsi2,mlbda2,,
18,mogpl3,lrc1,,complex1,mapsi4,mlbda4,,
19,mogpl1,lrc4,,bima1,,,,
20,mogpl3,lrc2,,complex2,il3,mapsiX,,
21,mogpl4,lrc4,,mapsi5,mlbda2,,,
22,mogpl3,lrc4,,il3,mapsi1,mlbda4,,
23,mogpl3,lrc1,,complex1,mapsi3,mlbda4,,
24,mogpl3,lrc2,,complex1,mapsi3,,,
25,mogpl4,lrc2,,aagb1,il5,mapsi2,,
26,mogpl3,lrc1,,complex1,mapsi1,mlbda4,,
27,mogpl1,lrc4,,aagb1,bima1,mapsi2,,
28,mogpl3,lrc2,,complex2,il3,mapsiX,,
29,mogpl2,lrc3,,il2,mlbda3,,,
30,mogpl1,lrc4,,il2,mapsi4,,,
31,mogpl4,lrc2,,bima1,complex1,mapsi1,,
32,mogpl4,lrc2,,complex1,mapsi4,mlbda1,,
33,mogpl2,lrc3,,complex2,ilX,mlbda2,,
34,mogpl2,,,complex2,mlbda2,,,
35,mogpl1,lrc4,,bima1,mapsi4,mlbda2,,
36,mogpl2,lrc2,,complex1,mapsi4,mlbda1,,
37,mogpl1,lrc4,,aagb1,il5,mapsi4,,
38,mogpl2,lrc2,,complex1,mapsi4,mlbda4,,
39,mogpl1,lrc3,,aagb1,complex2,il3,,
40,mogpl3,lrc2,,complex2,mapsi3,mlbda2,,
41,mogpl2,lrc1,,mapsi3,mlbda4,,,
42,mogpl2,lrc2,,complex1,mapsi4,mlbda1,,
43,mogpl3,lrc1,,aagbX,mapsi1,mlbda3,,
44,mogpl2,lrc3,,complex2,mlbda2,,,
45,mogpl1,lrc4,,bima1,mapsi1,mlbda4,,
