num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,pr2,,,dlp3,il5,,,
2,noyau2,,,archi13,dlp3,,,
3,pr4,noyau1,,ares3,dlp1,mlbda2,,
4,pr3,noyau2,,archi14,il1,mlbda3,,
5,,,,archi12,ares1,dlp3,,
6,pr3,noyau1,,archi14,ares3,mlbda2,,
7,pr1,noyau3,,algav2,archi12,aresX,,
8,pr2,noyau1,,archi14,dlp3,il1,,
9,pr1,noyau4,,,,,,
10,pr4,noyau4,,aresX,mlbda2,,,
11,pr1,noyau3,,algav1,ares3,dlp1,,
12,pr2,noyau1,,ares3,dlp3,il5,,
13,pr3,noyau1,,algav2,il5,mlbda1,,
14,pr4,noyau3,,algav2,aresX,il2,,
15,pr3,noyau1,,archi14,il3,mlbda3,,
16,pr1,noyau3,,archi12,ares3,dlp3,,
17,pr1,noyau4,,,,,,
18,pr4,noyau1,,algav2,ares2,il5,,
19,pr1,,,archi12,dlp3,,,
20,pr3,noyau2,,archi14,il3,mlbda3,,
21,pr4,noyau1,,algav3,ares1,dlp1,,
22,pr4,noyau4,,algav1,ares3,il4,,
23,pr2,noyau4,,algav1,dlp3,il1,,
24,pr4,noyau4,,,,,,
25,pr1,noyau2,,archi14,dlp3,mlbda3,,
26,,,,archi12,,,,
27,pr1,noyau3,,algav3,archi14,dlp3,,
28,pr1,,,,,,,
29,,,,dlp1,il1,mlbda4,,
30,pr3,noyau1,,archi11,aresX,il1,,
31,pr3,noyau2,,aresX,dlp2,mlbda2,,
32,pr3,noyau1,,archi11,aresX,il4,,
33,pr2,noyau1,,archi14,dlp3,il2,,
34,pr3,noyau2,,dlp2,il1,mlbda3,,
35,pr4,noyau4,,algav1,ares3,mlbda2,,
