num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,rtel2,ares3,,archi11,mogpl4,noyau2,,
2,rtel1,ares1,,archi12,mogpl1,signal2,,
3,rtel1,ares1,,complexX,pr2,signal2,,
4,,,,archi11,noyau1,signal2,,
5,rtel2,ares3,,mogpl2,noyau3,signal1,,
6,rtel2,ares3,,archi11,mogpl4,noyau2,,
7,rtel1,ares1,,noyau4,pr2,signal2,,
8,rtel2,ares2,,mogpl3,noyau2,signal1,,
9,rtel1,ares3,,archi13,mogpl4,pr1,,
10,rtel2,ares3,,archi13,noyau2,signal1,,
11,rtel2,ares2,,archi11,mogpl4,noyau1,,
12,rtel1,ares1,,archi14,pr2,signal2,,
13,rtel1,ares2,,complex1,noyau1,pr4,,
14,,,,pr1,signal1,,,
15,rtel2,ares3,,archi14,noyau2,signal1,,
16,rtel1,ares1,,archi12,noyau3,pr3,,
17,ares2,,,noyau1,,,,
18,rtel1,ares2,,noyau1,,,,
19,,,,pr1,,,,
20,rtel2,ares3,,mogpl3,noyau3,signal1,,
21,,,,pr1,signal1,,,
22,rtel1,ares1,,noyau4,pr2,signal2,,
23,rtel1,ares1,,mogpl3,noyau3,pr4,,
24,rtel1,ares2,,noyau2,pr1,signal2,,
25,rtel1,ares1,,noyau2,pr2,signal2,,
26,rtel1,ares1,,archi12,noyau3,pr4,,
27,rtel1,ares1,,noyau4,pr2,signal2,,
28,rtel1,ares1,,mogpl2,pr2,signal2,,
29,rtel1,ares3,,archi12,mogpl4,pr2,,
30,rtel1,ares1,,mogpl2,pr2,signal2,,
31,rtel1,ares1,,archi14,mogpl1,signal2,,
32,rtel1,ares3,,archi13,mogpl4,pr1,,
33,,,,pr1,,,,
34,rtel1,ares1,,archi12,pr2,signal2,,
35,rtel1,ares2,,archi12,mogpl1,signal2,,
36,rtel2,ares3,,mogpl3,noyau3,signal1,,
37,rtel1,ares1,,archi13,mogpl1,signal2,,
38,rtel1,ares3,,archi14,noyau3,pr1,,
39,rtel1,ares3,,archi12,noyau3,pr4,,
40,rtel1,ares1,,mogpl3,pr2,signal2,,
41,rtel2,ares2,,archi11,mogpl1,signal2,,
42,rtel1,ares1,,mogpl3,pr2,signal2,,
43,rtel1,ares3,,mogpl3,noyau3,pr4,,
44,rtel1,ares3,,archi12,mogpl4,pr1,,
45,rtel1,ares2,,complex1,mogpl3,noyau2,,
46,rtel2,ares3,,mogpl3,pr2,signal1,,
47,rtel1,ares1,,noyau4,pr2,signal2,,
48,rtel1,ares1,,mogpl3,noyau3,signal2,,
49,rtel2,ares2,,archi11,noyau1,pr3,,
50,rtel1,ares3,,mogpl3,noyau3,pr4,,
