num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,dlp1,algav1,,il2,mogpl4,pr2,,
2,dlp2,algav3,,mlbda1,mogpl4,pr1,,
3,,,,mlbda3,noyau4,pr1,,
4,dlp2,algav1,,complex2,ilX,lrc1,,
5,dlp1,algav1,,il2,lrc2,mlbda3,,
6,dlp2,algav3,,lrc3,mlbda2,mogpl4,,
7,dlp1,,,il1,mlbda3,,,
8,algav1,,,mlbda2,,,,
9,dlp3,algav2,,lrc3,noyau4,pr1,,
10,dlp3,algav2,,archi14,lrc3,mlbda2,,
11,,,,il5,pr4,,,
12,dlp1,algav1,,complex1,ilX,mlbda1,,
13,dlp2,algav1,,il1,mlbda3,pr3,,
14,dlp3,algav1,,complexX,il5,pr2,,
15,dlp1,algav1,,il4,mlbda4,mogpl1,,
16,dlp1,algav2,,il4,noyau2,pr3,,
17,dlp1,algav3,,il4,mlbda4,mogpl1,,
18,algav3,,,il5,,,,
19,dlp1,algav2,,il2,lrc3,mlbda4,,
20,dlp1,algav1,,il2,lrc2,mlbda4,,
21,dlp1,algav1,,il4,mlbda3,pr4,,
22,dlp3,algav3,,il5,mlbda1,noyau1,,
23,dlp2,algav2,,il2,lrc2,mlbda4,,
24,dlp3,algav3,,archi12,complexX,il2,,
25,dlp2,algav2,,mlbda2,noyau2,pr3,,
26,dlp2,algav1,,complex2,il4,noyauX,,
27,dlp1,algav3,,il4,mlbda1,pr4,,
28,dlp2,algav1,,mlbda2,,,,
29,,,,lrc3,mogpl3,pr1,,
30,dlp2,algav3,,il4,mlbda1,noyau2,,
31,dlp3,algav3,,archi12,il4,mlbda1,,
32,dlp1,algav2,,il4,mlbda1,pr4,,
33,dlp2,algav1,,complex2,il4,mogpl1,,
34,dlp1,algav3,,il2,lrc3,pr3,,
35,,,,il5,mlbda3,pr4,,
36,dlp3,,,il2,lrc3,noyau4,,
37,dlp2,algav1,,complexX,il2,lrc2,,
38,dlp2,algav3,,mlbda2,mogpl4,noyau1,,
39,dlp1,algav1,,il2,mlbda3,pr4,,
40,dlp2,algav2,,il4,mlbda4,noyau1,,
41,dlp3,algav2,,archi14,lrc2,mlbda2,,
42,dlp2,algav2,,lrc3,mogpl4,,,
43,dlp2,algav2,,il4,mlbda1,pr4,,
44,dlp2,algav1,,il2,,,,
45,dlp3,algav2,,archi14,il4,mlbda1,,
46,dlp2,algav1,,il4,mlbda3,pr4,,
47,dlp2,algav3,,il4,mlbda4,mogpl1,,
48,dlp3,algav3,,lrc3,noyau4,pr1,,
49,dlp2,algav1,,il4,mlbda3,pr4,,
50,dlp1,,,il1,lrc3,pr3,,
51,dlp2,algav3,,il4,mlbda4,mogpl1,,
52,dlp1,algav3,,il2,lrc3,pr3,,
53,,,,complex2,il5,pr2,,
54,dlp3,algav2,,il5,lrc3,mlbda1,,
55,dlp2,algav3,,il2,lrc3,pr3,,
