num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,model1,,,dlp2,mapsi1,noyau3,pr3,
2,model1,,,archi11,ares1,mapsi5,noyau3,
3,,,,ares2,complex1,dlp2,pr4,
4,model1,,,archi12,complex1,dlp3,pr2,
5,model1,,,ares2,dlp1,noyau1,pr3,
6,model1,,,ares2,complex2,dlp2,pr1,
7,model1,,,archi11,ares1,mapsi5,noyau3,
8,,,,complex1,mapsi5,pr4,,
9,model1,,,archi12,ares2,dlp3,pr1,
10,model1,,,ares2,complex2,mapsi4,noyau4,
11,model1,,,archi13,ares1,noyau1,pr3,
12,model1,,,archi11,aresX,complex1,pr3,
13,model1,,,ares2,complex1,mapsi2,noyau4,
14,model1,,,archi12,complex1,dlp3,pr2,
15,model1,,,archi11,mapsi5,noyau3,pr1,
16,model1,,,ares1,complex2,dlp2,pr2,
17,model1,,,ares1,complex2,mapsi3,noyau4,
18,model1,,,ares2,complex2,dlp2,pr1,
19,model1,,,ares2,complex1,mapsi2,noyau4,
20,model1,,,aresX,dlp3,mapsi5,pr2,
21,model1,,,complex1,dlp2,mapsi1,pr3,
22,model1,,,complex2,dlp2,pr2,,
23,model1,,,archi11,ares2,complex2,pr1,
24,model1,,,ares1,dlp2,noyau3,pr3,
25,model1,,,complex1,dlp2,noyau2,pr2,
