num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
2,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
3,maths4m0621,,,bima1,,,,
4,maths4m0621,mapsi5,aagb1,il3,mogpl4,,,
5,maths4m0621,mapsi4,aagb1,bimaX,mogpl2,,,
6,maths4m0621,mapsi5,aagb1,lrc4,,,,
7,mapsi2,aagb1,,bimaX,,,,
8,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
9,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
10,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
11,maths4m0621,mapsi2,aagb1,,,,,
12,maths4m0621,mapsi2,aagb1,bimaX,complex2,,,
13,aagb1,,,complex2,il5,,,
14,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
15,maths4m0621,mapsi2,aagb1,,,,,
16,maths4m0621,mapsi5,aagb1,il3,mogpl4,,,
17,maths4m0621,aagb1,,complex2,,,,
18,maths4m0621,mapsi2,aagb1,mogpl2,,,,
19,maths4m0621,mapsi4,aagb1,complex2,mogpl2,,,
20,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
21,maths4m0621,mapsi2,aagb1,,,,,
22,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
23,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
24,maths4m0621,mapsi2,aagb1,lrc4,,,,
25,maths4m0621,mapsi2,aagb1,bima1,complex2,,,
