num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,model1,,,aresX,dlp2,mapsi1,pr1,
2,,,,archi11,ares1,mapsi5,noyau3,
3,model1,,,complex2,dlp1,noyau2,pr1,
4,model1,,,archi11,ares2,complex2,pr1,
5,model1,,,ares1,mapsi5,noyau3,pr3,
6,model1,,,archi12,ares2,complex1,dlp3,
7,model1,,,archi11,complex2,noyau3,pr1,
8,model1,,,archi12,complex1,dlp3,pr2,
9,model1,,,ares1,complex2,noyau4,pr2,
10,model1,,,ares2,complex2,mapsi5,pr1,
11,model1,,,complex2,mapsi5,noyau3,pr1,
12,model1,,,archi11,complex1,noyau1,pr2,
13,model1,,,archi11,ares1,mapsi5,noyau3,
14,model1,,,archi13,noyau1,,,
15,model1,,,ares1,mapsi5,noyau3,pr3,
16,model1,,,ares2,dlp3,mapsi5,pr1,
17,model1,,,archi11,ares1,mapsi5,pr2,
18,model1,,,archi13,aresX,complex1,pr3,
19,model1,,,ares2,complex1,pr3,,
20,model1,,,archi13,ares1,noyau1,pr3,
21,model1,,,ares1,dlp1,noyau3,pr3,
22,model1,,,complex1,mapsi3,noyau4,pr2,
23,model1,,,complex1,mlbda1,noyau4,pr3,
24,model1,,,ares1,complex2,noyau4,,
25,model1,,,ares2,complex1,mapsi4,pr3,
