num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mapsi4,bima1,,il4,model1,mogpl1,,
2,,,,complex2,il5,lrc3,,
3,mapsi4,bima1,,complex2,il4,model1,,
4,bima1,,,lrc2,mogpl4,,,
5,mapsi1,bima1,,lrc2,model1,,,
6,mapsi1,bima1,,algav3,il4,mogpl1,,
7,bima1,,,il4,,,,
8,mapsi2,bima1,,,,,,
9,mapsi2,bima1,,complex2,il4,model1,,
10,mapsi1,bima1,,algav2,il4,mogpl1,,
11,mapsi2,bima1,,il4,model1,mogpl1,,
12,mapsi4,bima1,,il1,lrc4,mogpl1,,
13,mapsi1,bima1,,il3,lrc4,mogpl1,,
14,mapsi1,bima1,,complex1,model1,mogpl1,,
15,mapsi2,bima1,,il1,lrc4,mogpl1,,
