num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,vlsi11,archi13,,esa2,pr1,signal2,,
2,vlsi11,archi14,,ares1,mobj2,noyau1,,
3,vlsi11,archi14,,ares1,mobj1,signal2,,
4,vlsi11,archi14,,mobj1,noyau3,signal2,,
5,archi11,,,mobj2,,,,
6,vlsi11,archi13,,ares1,esa2,mobj2,,
7,vlsi12,archi11,,esa1,mobj1,noyau3,,
8,vlsi11,archi14,,ares3,mobj1,noyau3,,
9,vlsi12,archi11,,mobj2,noyau2,pr4,,
10,vlsi12,archi13,,esa1,mobj1,signal1,,
11,vlsi11,archi12,,ares1,mobj2,noyau3,,
12,vlsi11,archi14,,ares3,noyau1,pr3,,
13,vlsi12,archi11,,ares2,esa2,mobj2,,
14,,,,esa1,mobj1,,,
15,vlsi12,archi13,,esa1,mobj1,signal1,,
16,vlsi12,archi11,,ares2,esa2,mobj2,,
17,vlsi11,,,esa2,signal2,,,
18,vlsi12,archi12,,mobj2,noyau3,signal1,,
19,vlsi12,archi14,,ares2,mobj2,signal1,,
20,vlsi12,archi13,,esa1,noyau2,signal1,,
21,vlsi11,archi14,,mobj1,signal2,,,
22,vlsi12,archi14,,ares3,noyau3,signal1,,
23,vlsi12,archi12,,ares3,pr2,signal1,,
24,vlsi12,archi11,,aresX,esa1,mobj1,,
25,vlsi11,archi12,,mobj2,noyau3,pr3,,
26,vlsi12,archi12,,aresX,pr2,signal1,,
27,vlsi12,archi11,,ares2,esa2,signal2,,
28,vlsi12,archi13,,ares3,esa2,signal1,,
29,vlsi11,archi13,,ares1,esa2,signal2,,
30,vlsi11,archi12,,mobj2,noyau3,pr3,,
31,vlsi12,archi11,,ares2,esa2,signal2,,
32,vlsi11,archi14,,aresX,pr2,signal2,,
33,vlsi11,archi13,,esa1,mobj1,pr1,,
34,vlsi12,archi11,,esa2,noyau3,signal2,,
35,vlsi11,archi12,,,,,,
36,vlsi12,archi12,,mobj2,pr2,signal1,,
37,vlsi12,archi13,,esa1,mobj1,signal1,,
38,vlsi12,archi11,,esa1,mobj1,pr4,,
39,vlsi12,archi13,,esa1,mobj1,signal1,,
40,vlsi11,archi14,,ares2,pr1,signal2,,
41,vlsi11,archi13,,esa2,pr1,signal2,,
42,vlsi11,archi13,,ares1,esa2,mobj2,,
43,vlsi12,archi11,,esa1,mobj1,noyau3,,
44,vlsi12,,,ares2,esa2,signal2,,
45,vlsi12,archi13,,ares3,noyau2,signal1,,
46,archi13,,,esa1,mobj1,,,
47,vlsi11,archi13,,ares3,esa2,pr4,,
48,vlsi12,archi12,,mobj2,noyau3,pr4,,
49,vlsi11,archi12,,,,,,
50,vlsi11,archi12,,esa1,noyau3,pr1,,
