num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,,,,model1,mogpl2,,,
2,mlbda4,lrc2,,il3,mapsi1,mogpl3,,
3,mlbda4,lrc4,,il3,mapsi1,mogpl1,,
4,mlbda2,lrc2,,bima1,mapsi4,mogpl4,,
5,mlbda2,lrc2,,mapsi2,model1,mogpl3,,
6,mlbda3,lrc2,,bimaX,il2,mogpl4,,
7,mlbda1,lrc2,,complex1,mapsi5,mogpl4,,
8,lrc4,,,il2,,,,
9,mlbda2,lrc1,,mapsi4,model1,mogpl3,,
10,,,,mapsi5,model1,,,
11,,,,mapsi3,mogpl4,,,
12,mlbda3,,,il5,,,,
13,mlbda1,lrc3,,bimaX,il3,mogpl1,,
14,mlbda4,lrc2,,il3,mapsi1,mogpl3,,
15,mlbda2,lrc3,,complex2,ilX,mogpl1,,
16,mlbda4,lrc2,,il1,mapsi3,mogpl3,,
17,mlbda4,lrc4,,il1,mapsi4,mogpl1,,
18,mlbda4,lrc2,,il3,mapsi1,mogpl2,,
19,mlbda1,lrc3,,il3,model1,,,
20,mlbda4,lrc1,,il3,mapsi1,mogpl2,,
21,mlbda4,lrc2,,complex1,ilX,mapsi1,,
22,mlbda4,lrc2,,complex1,ilX,mapsi4,,
23,lrc3,,,mogpl2,,,,
24,lrc3,,,mogpl2,,,,
25,mlbda1,lrc3,,bimaX,complex1,mogpl3,,
26,mlbda4,lrc1,,il3,mapsi1,mogpl3,,
27,mlbda4,lrc4,,il3,mapsi1,mogpl1,,
28,mlbda4,lrc2,,bima1,il1,mapsi2,,
29,lrc2,,,mapsi3,,,,
30,mlbda2,lrc1,,mapsi1,model1,mogpl2,,
31,mlbda4,lrc1,,il3,mapsi1,mogpl2,,
32,,,,il2,mogpl4,,,
33,mlbda1,lrc2,,complex1,mapsi4,mogpl4,,
34,mlbda4,lrc1,,il3,mapsi1,mogpl2,,
35,mlbda2,lrc2,,bimaX,mapsi3,mogpl2,,
36,mlbda1,lrc1,,il3,mapsi5,model1,,
37,mlbda4,lrc1,,il3,mapsi1,mogpl2,,
38,mlbda4,lrc2,,il1,mapsi4,mogpl2,,
39,mlbda4,lrc1,,il3,mapsi1,mogpl2,,
40,mlbda4,lrc2,,bima1,complex1,mapsi1,,
