num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mapsi1,bima1,,complexX,il3,lrc2,,
2,mapsi1,bima1,,algav3,modelX,mogpl1,,
3,mapsi2,bima1,,complex1,lrc1,mogpl4,,
4,,,,lrc2,mogpl2,,,
5,mapsi4,bima1,,il2,lrc1,model1,,
6,mapsi1,bima1,,lrc1,modelX,mogpl4,,
7,mapsi1,bima1,,il4,model1,mogpl1,,
8,mapsi4,bima1,,il1,lrc2,model1,,
9,mapsi2,bima1,,il4,model1,mogpl1,,
10,mapsi4,bima1,,il1,lrc4,mogpl1,,
11,bima1,,,algav2,,,,
12,,,,lrc3,model1,mogpl3,,
13,,,,algav2,il1,lrc3,,
14,mapsi1,bima1,,algav2,il4,lrcX,,
15,mapsi2,bima1,,lrcX,model1,mogpl1,,
