num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,maths4m0621,,,bima1,mlbda4,,,
2,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
3,maths4m0621,mapsi2,aagb1,il5,mogpl4,,,
4,maths4m0621,aagb1,,mogpl2,,,,
5,maths4m0621,mapsi2,aagb1,,,,,
6,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
7,maths4m0621,mapsi4,aagb1,il5,lrc4,,,
8,mapsi5,aagb1,,bimaX,,,,
9,maths4m0621,mapsi2,aagb1,bima1,lrc4,,,
10,maths4m0621,mapsi4,aagb1,bimaX,mlbdaX,,,
11,maths4m0621,mapsi5,aagb1,,,,,
12,maths4m0621,mapsi5,aagb1,,,,,
13,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
14,maths4m0621,mapsi4,aagb1,bima1,lrc4,,,
15,mapsi2,aagb1,,complex2,il4,,,
16,maths4m0621,,,lrc3,mogpl2,,,
17,maths4m0621,mapsi5,aagb1,il3,mogpl4,,,
18,maths4m0621,mapsi2,aagb1,il5,mlbdaX,,,
19,maths4m0621,mapsi4,aagb1,mlbdaX,,,,
20,aagb1,,,lrc2,mogpl3,,,
21,maths4m0621,mapsi2,aagb1,bimaX,il5,,,
22,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
23,maths4m0621,aagb1,,complex2,,,,
24,maths4m0621,mapsi5,aagb1,bimaX,il3,,,
25,aagb1,,,il5,lrc3,,,
