num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,maths4m0621,mapsi2,aagb1,complex2,mlbdaX,,,
2,maths4m0621,mapsi3,aagb1,lrc4,mogpl3,,,
3,,,,il1,mlbda4,,,
4,maths4m0621,mapsi4,aagb1,bima1,complex2,,,
5,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
6,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
7,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
8,maths4m0621,mapsi5,aagb1,complexX,lrc4,,,
9,maths4m0621,mapsi2,aagb1,bima1,lrc4,,,
10,aagb1,,,complex2,il5,,,
11,maths4m0621,mapsi5,aagb1,il3,mlbdaX,,,
12,aagb1,,,lrc1,mogpl3,,,
13,maths4m0621,mapsi2,aagb1,,,,,
14,maths4m0621,mapsi5,aagb1,il3,lrc4,,,
15,maths4m0621,mapsi5,aagb1,mlbdaX,,,,
16,maths4m0621,,,bima1,lrc4,,,
17,maths4m0621,mapsi2,aagb1,il5,lrc4,,,
18,maths4m0621,mapsi2,aagb1,bima1,mogpl4,,,
19,maths4m0621,mapsi4,aagb1,,,,,
20,maths4m0621,mapsi2,aagb1,complex2,mogpl2,,,
21,maths4m0621,mapsi2,aagb1,complex2,lrcX,,,
22,maths4m0621,mapsi2,aagb1,lrc4,mogpl2,,,
23,maths4m0621,mapsi4,aagb1,bima1,lrc4,,,
24,maths4m0621,mapsi5,aagb1,il3,mlbdaX,,,
25,maths4m0621,aagb1,,il3,,,,
