num,oblig1,oblig2,oblig3,cons1,cons2,cons3,cons4,cons5
1,mapsi1,bima1,,algav2,modelX,mogpl1,,
2,mapsi2,bima1,,complex1,model1,mogpl1,,
3,mapsi4,bima1,,complex1,lrc1,mogpl4,,
4,mapsi4,bima1,,complex2,il4,mogpl1,,
5,bima1,,,algavX,il2,model1,,
6,mapsi2,bima1,,complex1,lrc2,model1,,
7,mapsi1,,,il4,model1,mogpl3,,
8,mapsi1,bima1,,il4,model1,mogpl1,,
9,mapsi1,bima1,,il4,,,,
10,mapsi1,bima1,,il4,model1,mogpl1,,
11,mapsi2,bima1,,complex1,model1,mogpl1,,
12,mapsi1,bima1,,algav2,lrc1,,,
13,mapsi2,bima1,,complex1,ilX,lrc1,,
14,mapsi1,bima1,,il4,model1,mogpl1,,
15,mapsi2,bima1,,complex2,il4,model1,,
